game_uid,sequence,winner_side,winner
2lknrPLIsd_0004_G1,"blue_ban_Chip,red_ban_Ling,blue_ban_Roger,red_ban_Zhask,blue_ban_Hayabusa,red_ban_Lolita,blue_ban_Bane,red_ban_Julian,blue_ban_Tigreal,red_ban_Xavier,blue_pick_Ruby,red_pick_Yu Zhong,red_pick_Leomord,blue_pick_Granger,blue_pick_Kagura,red_pick_Zhuxin,red_pick_Karrie,blue_pick_Claude,blue_pick_Hylos,red_pick_Minotaur",red,0
2lknrPLIsd_0004_G2,"blue_ban_Zhask,red_ban_Hayabusa,blue_ban_Lolita,red_ban_Zhuxin,blue_ban_Ling,red_ban_Chip,blue_ban_Julian,red_ban_Kagura,blue_ban_Arlott,red_ban_Xavier,blue_pick_Yu Zhong,red_pick_Benedetta,red_pick_Fredrinn,blue_pick_Roger,blue_pick_Luo Yi,red_pick_Pharsa,red_pick_Claude,blue_pick_Beatrix,blue_pick_Minotaur,red_pick_Hylos",blue,1
2lknrPLIsd_0005_G1,"blue_ban_Luo Yi,red_ban_Hanzo,blue_ban_Roger,red_ban_Chip,blue_ban_Zhuxin,red_ban_Hylos,blue_ban_Lunox,red_ban_Julian,blue_ban_Leomord,red_ban_Terizla,blue_pick_Barats,red_pick_Yu Zhong,red_pick_Lancelot,blue_pick_Ling,blue_pick_Faramis,red_pick_Xavier,red_pick_Karrie,blue_pick_Moskov,blue_pick_Edith,red_pick_Tigreal",red,0
2lknrPLIsd_0005_G2,"blue_ban_Roger,red_ban_Hanzo,blue_ban_Zhuxin,red_ban_Hylos,blue_ban_Chip,red_ban_Ling,blue_ban_Lancelot,red_ban_Julian,blue_ban_Hayabusa,red_ban_Claude,blue_pick_Terizla,red_pick_Yu Zhong,red_pick_Martis,blue_pick_Leomord,blue_pick_Xavier,red_pick_Novaria,red_pick_Chang'e,blue_pick_Moskov,blue_pick_Tigreal,red_pick_Minotaur",blue,1
2lknrPLIsd_0007_G1,"blue_ban_Hylos,red_ban_Fanny,blue_ban_Layla,red_ban_Hanzo,blue_ban_Chip,red_ban_Lancelot,blue_ban_Yin,red_ban_Yu Zhong,blue_ban_Hanabi,red_ban_Ling,blue_pick_Edith,red_pick_Terizla,red_pick_Saber,blue_pick_Chou,blue_pick_Zhask,red_pick_Kadita,red_pick_Clint,blue_pick_Claude,blue_pick_Tigreal,red_pick_Belerick",blue,1
2lknrPLIsd_0007_G2,"blue_ban_Fanny,red_ban_Hylos,blue_ban_Hanzo,red_ban_Layla,blue_ban_Lancelot,red_ban_Zhask,blue_ban_Roger,red_ban_Belerick,blue_ban_Popol and Kupa,red_ban_Tigreal,blue_pick_Khaleed,red_pick_Badang,red_pick_Johnson,blue_pick_Saber,blue_pick_Aurora,red_pick_Zhuxin,red_pick_Chang'e,blue_pick_Hanabi,blue_pick_Gatotkaca,red_pick_Chip",red,0
2lknrPLIsd_0008_G1,"blue_ban_Xavier,red_ban_Zhask,blue_ban_Yu Zhong,red_ban_Hylos,blue_ban_Ling,red_ban_Edith,blue_ban_Clint,red_ban_Fanny,blue_ban_Lesley,red_ban_Julian,blue_pick_Arlott,red_pick_Khaleed,red_pick_Dyrroth,blue_pick_Hayabusa,blue_pick_Faramis,red_pick_Valentina,red_pick_Roger,blue_pick_Claude,blue_pick_Chip,red_pick_Carmilla",blue,1
2lknrPLIsd_0008_G2,"blue_ban_Faramis,red_ban_Yu Zhong,blue_ban_Hylos,red_ban_Xavier,blue_ban_Chip,red_ban_Ling,blue_ban_Fanny,red_ban_Helcurt,blue_ban_Julian,red_ban_Carmilla,blue_pick_Arlott,red_pick_Edith,red_pick_Roger,blue_pick_Fredrinn,blue_pick_Lunox,red_pick_Lylia,red_pick_Claude,blue_pick_Karrie,blue_pick_Floryn,red_pick_Tigreal",blue,1
2lknrPLIsd_0008_G3,"blue_ban_Faramis,red_ban_Xavier,blue_ban_Chip,red_ban_Yu Zhong,blue_ban_Hylos,red_ban_Karrie,blue_ban_Julian,red_ban_Angela,blue_ban_Dyrroth,red_ban_Mathilda,blue_pick_Arlott,red_pick_Esmeralda,red_pick_Alpha,blue_pick_Fredrinn,blue_pick_Valir,red_pick_Zhask,red_pick_Claude,blue_pick_Popol and Kupa,blue_pick_Tigreal,red_pick_Floryn",red,0
2lknrPLIsd_0010_G1,"blue_ban_Faramis,red_ban_Dyrroth,blue_ban_Ling,red_ban_Xavier,blue_ban_Hylos,red_ban_Franco,blue_ban_Grock,red_ban_Guinevere,blue_ban_Floryn,red_ban_Helcurt,blue_pick_Minsitthar,red_pick_Yu Zhong,red_pick_Roger,blue_pick_Hayabusa,blue_pick_Luo Yi,red_pick_Odette,red_pick_Beatrix,blue_pick_Moskov,blue_pick_Chip,red_pick_Tigreal",red,0
